female,Gender,age,party_id_leaners,Republican,race,traditional_gender,vote_trump
1,Female,68,Democrat,0,black,13,0
0,Male,55,Democrat,0,white,13,0
1,Female,53,Republican,1,white,13,1
0,Male,65,Republican,1,white,13,1
1,Female,58,Republican,1,white,13,1
0,Male,54,Democrat,0,hispanic,13,0
1,Female,72,Democrat,0,black,13,0
1,Female,50,Republican,1,white,13,0
0,Male,68,Democrat,0,black,13,0
0,Male,69,Democrat,0,white,13,0
1,Female,66,Democrat,0,white,13,0
0,Male,74,Republican,1,white,13,1
1,Female,23,Republican,1,hispanic,13,0
1,Female,41,Democrat,0,other,13,0
1,Female,64,Republican,1,white,13,1
0,Male,67,Democrat,0,white,13,1
0,Male,45,Republican,1,white,13,1
0,Male,20,Democrat,0,hispanic,13,0
0,Male,88,Democrat,0,other,13,0
0,Male,48,Republican,1,white,13,1
0,Male,24,Democrat,0,white,13,0
0,Male,46,Republican,1,white,13,1
1,Female,47,Democrat,0,black,13,0
1,Female,47,Democrat,0,other,13,0
1,Female,70,Republican,1,white,13,1
0,Male,61,Democrat,0,white,13,0
1,Female,50,Democrat,0,black,13,0
0,Male,79,Republican,1,white,13,1
1,Female,48,Republican,1,white,13,1
0,Male,21,Republican,1,white,13,1
1,Female,57,Republican,1,white,13,0
1,Female,47,Democrat,0,white,13,0
0,Male,51,Republican,1,white,13,1
1,Female,76,Republican,1,white,13,1
1,Female,26,Democrat,0,black,13,0
0,Male,74,Republican,1,white,13,1
0,Male,68,Republican,1,white,13,1
0,Male,64,Republican,1,white,13,1
0,Male,68,Democrat,0,hispanic,13,0
0,Male,37,Republican,1,white,13,0
1,Female,53,Democrat,0,white,13,0
0,Male,56,Democrat,0,black,13,0
1,Female,81,Democrat,0,white,13,0
1,Female,70,Democrat,0,white,13,0
1,Female,58,Democrat,0,white,13,0
0,Male,81,Republican,1,white,13,1
0,Male,19,Republican,1,white,13,0
1,Female,74,Democrat,0,white,13,0
1,Female,49,Republican,1,white,13,1
0,Male,59,Republican,1,white,13,0
0,Male,44,Republican,1,white,13,1
0,Male,63,Republican,1,other,13,1
1,Female,51,Democrat,0,white,13,0
0,Male,56,Republican,1,white,13,1
1,Female,87,Democrat,0,white,13,0
0,Male,75,Republican,1,white,13,1
0,Male,70,Republican,1,white,13,1
0,Male,57,Democrat,0,hispanic,13,0
1,Female,57,Republican,1,white,13,1
0,Male,33,Democrat,0,hispanic,13,0
1,Female,71,Republican,1,white,13,0
1,Female,35,Republican,1,asian,13,0
1,Female,52,Democrat,0,black,13,0
1,Female,57,Republican,1,white,13,1
1,Female,63,Democrat,0,white,13,0
0,Male,65,Democrat,0,white,13,0
1,Female,51,Democrat,0,white,13,0
0,Male,49,Republican,1,white,13,1
1,Female,45,Democrat,0,white,13,0
1,Female,60,Republican,1,hispanic,13,1
0,Male,59,Republican,1,white,13,1
0,Male,50,Republican,1,white,13,1
0,Male,83,Republican,1,white,13,0
0,Male,81,Republican,1,white,13,1
0,Male,56,Republican,1,hispanic,13,0
1,Female,59,Democrat,0,asian,13,0
1,Female,68,Republican,1,white,13,1
1,Female,79,Democrat,0,white,13,1
0,Male,76,Democrat,0,white,13,0
0,Male,31,Republican,1,white,13,0
0,Male,33,Republican,1,white,13,1
0,Male,52,Democrat,0,white,13,0
1,Female,89,Democrat,0,black,13,0
0,Male,54,Republican,1,white,13,0
0,Male,24,Republican,1,white,13,0
1,Female,38,Democrat,0,black,13,0
0,Male,48,Democrat,0,hispanic,13,0
1,Female,90,Republican,1,white,13,1
0,Male,58,Democrat,0,black,14,0
1,Female,39,Republican,1,white,14,1
0,Male,46,Republican,1,white,14,1
0,Male,69,Republican,1,other,14,0
0,Male,86,Democrat,0,white,14,0
1,Female,62,Republican,1,white,14,1
0,Male,25,Republican,1,white,14,1
0,Male,59,Republican,1,white,14,1
0,Male,23,Republican,1,white,14,0
0,Male,49,Republican,1,white,14,1
1,Female,88,Republican,1,white,14,0
0,Male,75,Republican,1,white,14,1
1,Female,59,Republican,1,other,14,1
0,Male,22,Democrat,0,white,14,0
0,Male,56,Democrat,0,hispanic,14,0
1,Female,42,Republican,1,white,14,1
0,Male,70,Republican,1,hispanic,14,1
1,Female,81,Republican,1,white,14,0
